Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cäsium-137 Cs-137;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Messzeit;84000;s
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cäsium-134 Cs-134;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Iod-131 I-131;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Kalium-40 K-40;5,19E+01;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Beryllium-7 Be-7;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cobalt-60 Co-60;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Radium-226 Ra-226;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Radium-228 Ra-228;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Thorium-228 Th-228;n.n.;Bq/kg(FM)
